sku;_store;_attribute_set;_type;_category;_root_category;_product_websites;color;cost;country_of_manufacture;created_at;description;has_options;image;image_label;is_available_online;manufacturer;meta_description;meta_keyword;meta_title;msrp;msrp_display_actual_price_type;msrp_enabled;name;options_container;page_layout;price;product_volume;required_options;short_description;size;small_image;small_image_label;special_from_date;special_price;special_to_date;status;tax_class_id;thumbnail;thumbnail_label;updated_at;url_key;url_path;visibility;weight;qty;min_qty;use_config_min_qty;is_qty_decimal;backorders;use_config_backorders;min_sale_qty;use_config_min_sale_qty;max_sale_qty;use_config_max_sale_qty;is_in_stock;use_config_notify_stock_qty;manage_stock;use_config_manage_stock;stock_status_changed_auto;use_config_qty_increments;qty_increments;use_config_enable_qty_inc;enable_qty_increments;is_decimal_divided;_links_related_sku;_links_related_position;_links_crosssell_sku;_links_crosssell_position;_links_upsell_sku;_links_upsell_position;_associated_sku;_associated_default_qty;_media_attribute_id;_media_image;_media_lable;_media_position;_media_is_disabled;_custom_option_store;_custom_option_type;_custom_option_title;_custom_option_is_required;_custom_option_price;_custom_option_sku;_custom_option_max_characters;_custom_option_sort_order;_custom_option_row_title;_custom_option_row_price;_custom_option_row_sku;_custom_option_row_sort;_super_products_sku;_super_attribute_code;_super_attribute_option
11;;Default;simple;Babycare/Merker/4ME,            Babycare/Outlet,         Vinter/Vogn & bæreseler,      Vinter/Vogn & bæreseler/Tilbehør;Babycare;base;;23;;2014-08-05 12:04:14;"<p>Handlenett i bomull som passer perfekt n&aring;r det er tid for &aring; handle. Plastfester til &aring; feste nettet til understellet medf&oslash;lger. Passer de fleste vogner og triller.</p>";0;/1/1/11.jpg;;Yes;4ME;;;Handlenett bomull, Titanium, Blå;149;Use config;Use config;Titanium handlenett til barnevogn, blått;Block after Info Column;;54.71;1.3;0;"<p>Handlenett i bomull som passer perfekt n&aring;r det er tid for &aring; handle. Plastfester til &aring; feste nettet til understellet medf&oslash;lger. Passer de fleste vogner og triller.</p>";;/1/1/11.jpg;;2018-10-22 00:00:00;;;1;1;/1/1/11.jpg;;2019-09-18 07:42:23;titanium-handlenett-til-barnevogn-bla;short-description-text.html;4;200;282;0;1;0;0;1;25;1;0;1;1;1;0;1;0;1;0;1;0;0;;;;;;;;;88;/1/1/11.jpg;;1;0;;;;;;;;;;;;;;;
;default;;;Outlet;Babycare;forhandler_norge;;;;;;;;;;;;;;;;;;;;149;;;;;;;2017-07-07 00:00:00;69;;;;;;;short-description-text;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;forhandler;;;Vogn & bæreseler;Vinter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;titanium-handlenett-til-barnevogn-bla.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Vogn & bæreseler/Tilbehør;Vinter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Vogn & bæreseler/Tilbehør/Titanium;Vinter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Nettopriser til forhandler;Babycare;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ALLE VARER;Babycare;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;;Default;simple;Merker/4ME;Babycare;base;;25;;2014-08-05 12:04:15;"<p>Ekstra stort handlenett i bomull som passer perfekt n&aring;r det er tid for &aring; handle. Plastfester til &aring; feste nettet til understellet medf&oslash;lger.</p>
<p>Passer de fleste vogner og triller ogs&aring; de fleste tvillingvogner og -triller</p>";0;/2/4/24.jpg;;Yes;4ME;Handlenett tvilling, Titanium, Sort;Handlenett tvilling, Titanium, Sort;Handlenett tvilling, Titanium, Sort;149;Use config;Use config;Titanium handlenett til barnevogn, stort, sort;Block after Info Column;;200.1;1.32;0;"<p>Ekstra stort handlenett i bomull som passer perfekt n&aring;r det er tid for &aring; handle. Plastfester til &aring; feste nettet til understellet medf&oslash;lger.</p>
<p>Passer de fleste vogner og triller ogs&aring; de fleste tvillingvogner og -triller</p>";;/2/4/24.jpg;;2018-10-22 00:00:00;31.25;;2;1;/2/4/24.jpg;;2020-10-14 16:05:33;titanium-handlenett-til-barnevogn-stort-sort;titanium-handlenett-til-barnevogn-stort-sort.html;4;200;50;0;1;0;0;1;25;1;0;1;1;1;0;1;0;1;0;1;0;0;;;;;;;;;88;/2/4/24.jpg;;0;0;;;;;;;;;;;;;;;
;default;;;Outlet;Babycare;forhandler_norge;;;;;;;;;;;;;;;;;;;;149;;;;;;;2017-07-07 00:00:00;39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sdsd.jpg;;;;;;;;;;;;;;;;;;
;;;;Vogn & bæreseler;Vinter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
